,Status,ActivityCompleted,nps_score,Comments,Sentiment,Device Type,Browser,Comments_spell_checked,Comments_spell_checked_textblob_polarity_score,Comments_spell_checked_txtblob_polarity,Comments_spell_checked_txtblob_polarity_subjectivity
2,Complete,2022-08-31,5.0,"Zz u CB
M.   L🛖🛖🛖🛖",Neutral,Mobile,Google App,Zz u B M. L🛖🛖🛖🛖,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
3,Complete,2022-08-31,5.0,"I am hoping that 1 out of 5
being 1 bad and 5 good!!
I am very sorry if incorrect. I don't have issues with the system.",Mixed,Desktop,Chrome,I am hoping that 1 out of 5 being 1 bad and 5 good!! I am very sorry if incorrect. I don't have issues with the system.,"Sentiment(polarity=-0.11666666666666663, subjectivity=0.7555555555555555)",-0.11666666666666663,0.7555555555555555
4,Complete,2022-08-31,3.0,command center is slo processing payment,Negative,Desktop,Chrome,command center is slo processing payment,"Sentiment(polarity=-0.1, subjectivity=0.1)",-0.1,0.1
5,Complete,2022-08-31,5.0,Great website easy to use,Positive,Mobile,Safari mobile,Great website easy to use,"Sentiment(polarity=0.6166666666666667, subjectivity=0.7916666666666667)",0.6166666666666667,0.7916666666666667
6,Complete,2022-08-31,4.0,"Because nothing is perfect...otherwise a ""5""",Mixed,Desktop,Chrome,"Because nothing is perfect...otherwise a ""5""","Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
7,Complete,2022-08-31,5.0,Easy to understand and use,Positive,Mobile,Chrome Mobile,Easy to understand and use,"Sentiment(polarity=0.43333333333333335, subjectivity=0.8333333333333334)",0.43333333333333335,0.8333333333333334
11,Complete,2022-08-31,1.0,"Worst system ever! Extremely slow, always gets stuck and seems like after every new update it only gets worse!",Negative,Desktop,Microsoft Edge,"Worst system ever! Extremely slow, always gets stuck and seems like after every new update it only gets worse!","Sentiment(polarity=-0.3327272727272727, subjectivity=0.6909090909090909)",-0.3327272727272727,0.6909090909090909
13,Complete,2022-08-31,1.0,Tells me a rental is available but cant pick a return time. Only a pick up time,Negative,Mobile,Safari mobile,Tells me a rental is available but cant pick a return time. Only a pick up time,"Sentiment(polarity=0.2, subjectivity=0.7)",0.2,0.7
20,Complete,2022-08-31,3.0,I don't see a way to update job contact information or a way to update once reservation has been made.,Negative,Desktop,Microsoft Edge,I don't see a way to update job contact information or a way to update once reservation has been made.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
22,Complete,2022-08-31,3.0,Price of rentals are not posted,Negative,Mobile,Safari mobile,Price of rentals are not posted,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
24,Complete,2022-08-31,1.0,I CHANGE ONE SCREEN AND THEY ALL CHANGE,Negative,Desktop,Chrome,I CHANGE NE SCREEN AND THEY ALL CHANGE,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
25,Complete,2022-08-31,2.0,Locations selection not working for Canada locations. Keeps giving me an error when I type in the city and province.,Negative,Desktop,Firefox,Locations selection not working for Canada locations. Keeps giving me an error when I type in the city and province.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
26,Complete,2022-08-31,5.0,Eta,Neutral,Mobile,Safari mobile,Eta,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
29,Complete,2022-09-01,3.0,To pay my invoices it takes forever doesn’t load,Negative,Desktop,Safari,To pay my invoices it takes forever doesn’t load,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
30,Complete,2022-09-01,5.0,Very easy to rent on the website,Positive,Mobile,Google App,Very easy to rent on the website,"Sentiment(polarity=0.5633333333333334, subjectivity=1.0)",0.5633333333333334,1.0
31,Complete,2022-09-01,5.0,Good site,Positive,Mobile,Safari mobile,Good site,"Sentiment(polarity=0.7, subjectivity=0.6000000000000001)",0.7,0.6000000000000001
32,Complete,2022-09-01,5.0,Ease of use,Positive,Mobile,Chrome Mobile,Ease of use,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
33,Complete,2022-09-01,5.0,5,Neutral,Mobile,Safari mobile,5,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
35,Complete,2022-09-01,5.0,Ease of use,Positive,Desktop,Microsoft Edge,Ease of use,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0
