nps_score,Comments
10,
10,Easy to use and I like that we are finally at this level with e-commerce. 
10,Easy to use. Happy that we are finally at this level with e-commerce. 
7,Harder to navigate to find the equipment unlike the old way. Probably will get used to it after awhile
10,The new website and app has made it easier for customers to navigate.
7,Because the site makes it appear that they can rent everything at every location. We have customers call everyday for items we don't have available in our district and it causes a bad customer experience. The site needs to be updated by location or at least mention in big bold type that not every location has every item on the website. 
9,
5,
10,Anything to speed up the pace and make things run smoother . 
1,It is not user friendly. It does not work and the maps are not accurate. a lot of Equipment are still missing.  
8,I find the PC search more difficult and I can't seem to search Canada PC.  should be able to search in US or Canada
5,"I recommend it based on the ease of which you can pay and order online. The only bad thing is youre able to reserve machines we dont have. Were in Canada, Saskatchewan to be exact. We dont have the luxery of 8 stores within 100 km radius. We get customers mad at us they were able to reserve something that is 2 provinces over. "
3,
5,have gotten feedback that it is difficult to use 
3,"new website wont load half the time, reporting/ locations often crashes website. "
8,
1,
8,i am letting customers know about this app.
4,It has its upsides. But machine availability needs to be more branch specific. A customer should not be able to go online and reserve equipment we have no access to. Having to call after the fact to tell them we don't actually have the gear they requested feels unprofessional. 
6,
10,
10,
10,
1,The system is always slow can't log in can't make payments can't download invoices. 
10,easy to use
10,
4,if a customer is looking at the map for the closest store the distance is not accurate.  
10,"A lot of the features that were missing have been implemented, i.e. live cart, updated catalog, etc. "
0,"I have many customers that used the old system frequently. Though the new layout is more friendly, functionality has decreased drastically and we have received complaints that the website is to slow or will not access their information at all. My team and I have experienced this internally as well. we are unable to switch customers or enter service calls. "
7,It is a great tool for customers but after the updates it is very glitchy.
7,Needs improvement 
1,"I get complaints from customers who put in reservations online for equipment, only to find out the equipment they are ordering is not available. I had a customer the other day who was very upset asking why would the online portal allow this to happen & I was not able to provide her with an answer. that really affected their job & they also could not locate the equipment at any other rental companies & there was no equipment we could sub with. They needed what they ordered. This customer stated this is very poorly set up & needed to be improved upon. I also get a lot of call from other states that look online for equipment & they are working in another state & some how the website tells them to contact the Rockford Il branch when in reality they are working in IE..New York..I asked what they were doing to get the Rockford branch info, & they stated that when they were online looking for equipment to order off the website for a job, they stated that it asks for the jobsite Zip Code so it would display the branch closest to the jobsite & it selects our store. I get this often for New York, Had one the other day working in Texas that the website directed them to Rockford Il & then I have had Nevada & Minnesota. "
8,Ease of use and plethora of tools 
8,
8,
9,Easy to use
